,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
6320,52,transportation ,East of England,2019.0,407.1,179,321.5,49.6,0.04,0.04,0.05,0.02
6321,52,transportation ,London,2012.0,266.2,160.9,199.8,88,0.02,0.02,0.03,0.03
6322,52,transportation ,London,2013.0,330.9,175,250.1,98.7,0.02,0.02,0.04,0.04
6323,52,transportation ,London,2014.0,462.3,215,337.9,121.1,0.03,0.03,0.04,0.04
6324,52,transportation ,London,2015.0,437.9,314.1,253.6,203.9,0.03,0.04,0.03,0.06
6325,52,transportation ,London,2016.0,488.3,190.4,373.6,99.2,0.03,0.02,0.04,0.03
6326,52,transportation ,London,2017.0,647.3,164.2,552.7,75.5,0.04,0.02,0.06,0.02
6327,52,transportation ,London,2018.0,820,228.7,696.5,103.6,0.04,0.03,0.07,0.03
6328,52,transportation ,London,2019.0,448.8,175.5,329.5,88.7,0.03,0.02,0.04,0.03
6329,52,transportation ,South East,2012.0,610.1,195.3,512.4,70,0.06,0.04,0.09,0.03
6330,52,transportation ,South East,2013.0,516.5,234.7,382.8,74.8,0.05,0.04,0.08,0.03
6331,52,transportation ,South East,2014.0,572.1,279.9,398.9,104.4,0.05,0.05,0.07,0.04
6332,52,transportation ,South East,2015.0,558.3,175.8,429,94,0.05,0.03,0.07,0.03
6333,52,transportation ,South East,2016.0,577.2,108.9,562,44.4,0.05,0.02,0.09,0.02
6334,52,transportation ,South East,2017.0,483.4,101.6,451.7,56.6,0.04,0.02,0.06,0.02
6335,52,transportation ,South East,2018.0,321.7,157.2,201.2,54.3,0.02,0.02,0.03,0.02
6336,52,transportation ,South East,2019.0,1165.4,323.9,870.3,96.2,0.07,0.04,0.1,0.03
6337,52,transportation ,South West,2012.0,107.5,48.3,77.9,17.6,0.04,0.03,0.06,0.03
6338,52,transportation ,South West,2013.0,105.2,44.4,83.2,17.5,0.03,0.03,0.05,0.03
6339,52,transportation ,South West,2014.0,205.6,99.3,124.9,40.8,0.06,0.06,0.07,0.05
6340,52,transportation ,South West,2015.0,162.7,135.1,77.1,25.4,0.04,0.07,0.05,0.03
6341,52,transportation ,South West,2016.0,101.8,88.3,46.1,15.8,0.03,0.06,0.02,0.02
6342,52,transportation ,South West,2017.0,102.1,50.7,68.1,19.8,0.02,0.03,0.03,0.02
6343,52,transportation ,South West,2018.0,107.3,53.9,104.9,30.8,0.02,0.03,0.04,0.03
6344,52,transportation ,South West,2019.0,151.4,68,131.6,23.2,0.03,0.03,0.05,0.02
6345,52,transportation ,England,2012.0,952.9,422.5,799.7,125.6,0.02,0.02,0.03,0.01
6346,52,transportation ,England,2013.0,862,430.1,647.2,153.9,0.02,0.02,0.02,0.01
6347,52,transportation ,England,2014.0,1051.6,511.2,796.4,172.2,0.02,0.02,0.02,0.01
6348,52,transportation ,England,2015.0,1253.9,617.6,831.4,236.6,0.02,0.02,0.02,0.02
6349,52,transportation ,England,2016.0,1005.2,362.2,921.4,141.4,0.02,0.01,0.02,0.01
6350,52,transportation ,England,2017.0,1304.2,460.5,1058.6,144.7,0.02,0.02,0.02,0.01
6351,52,transportation ,England,2018.0,1225.6,426.7,1073,129.2,0.01,0.01,0.02,0.01
6352,52,transportation ,England,2019.0,1428.8,518.4,1184.5,121.2,0.02,0.01,0.03,0.01
6353,52,transportation ,Wales,2012.0,54.8,31.3,38.3,19.6,0.06,0.07,0.08,0.08
6354,52,transportation ,Wales,2013.0,123.1,122.6,20.4,21.1,0.11,0.17,0.05,0.08
6355,52,transportation ,Wales,2014.0,49.5,24.6,35.8,7.3,0.04,0.04,0.07,0.03
6356,52,transportation ,Wales,2015.0,72.1,47.2,89.6,14.5,0.04,0.06,0.07,0.04
6357,52,transportation ,Wales,2016.0,117.6,50.6,75.7,23.2,0.08,0.08,0.08,0.07
6358,52,transportation ,Wales,2017.0,84.8,66.6,41.6,16.1,0.05,0.1,0.04,0.05
6359,52,transportation ,Wales,2018.0,72.4,40.7,43.3,15,0.04,0.05,0.06,0.04
6360,52,transportation ,Wales,2019.0,516.9,80.4,463,74.3,0.22,0.08,0.35,0.16
6361,52,transportation ,Scotland,2012.0,195.6,64.9,168.9,22.4,0.04,0.03,0.07,0.02
6362,52,transportation ,Scotland,2013.0,146.7,71.6,107.8,17.1,0.03,0.03,0.05,0.02
6363,52,transportation ,Scotland,2014.0,125.7,64.9,77.3,25.1,0.02,0.02,0.03,0.02
6364,52,transportation ,Scotland,2015.0,172,64.5,142,24.5,0.03,0.02,0.05,0.02
6365,52,transportation ,Scotland,2016.0,104.2,70.6,59.8,11.3,0.02,0.03,0.02,0.01
6366,52,transportation ,Scotland,2017.0,337.2,334.1,75.6,24.1,0.05,0.1,0.02,0.02
6367,52,transportation ,Scotland,2018.0,188,107.7,152.5,38.6,0.03,0.04,0.05,0.02
6368,52,transportation ,Scotland,2019.0,128.5,64.3,90.5,21.4,0.02,0.02,0.03,0.01
6369,52,transportation ,Northern Ireland,2012.0,46.2,19.7,34.6,6.8,0.07,0.08,0.08,0.05
6370,52,transportation ,Northern Ireland,2013.0,72.7,28,59.7,7.4,0.11,0.1,0.15,0.06
6371,52,transportation ,Northern Ireland,2014.0,56,31.3,39,10.2,0.07,0.09,0.09,0.06
6372,52,transportation ,Northern Ireland,2015.0,117.2,50.8,82.7,18,0.13,0.13,0.16,0.1
6373,52,transportation ,Northern Ireland,2016.0,63.9,40.4,34,8.7,0.08,0.12,0.07,0.05
6374,52,transportation ,Northern Ireland,2017.0,108.6,44,95.1,12.4,0.13,0.13,0.19,0.07
6375,52,transportation ,Northern Ireland,2018.0,68.6,38.1,51.8,8.8,0.06,0.08,0.09,0.04
6376,52,transportation ,Northern Ireland,2019.0,101.5,77.9,45.4,16.3,0.08,0.12,0.08,0.07
6377,52,transportation ,United Kingdom,2012.0,976,433.8,816.7,126.5,0.02,0.01,0.03,0.01
6378,52,transportation ,United Kingdom,2013.0,897.7,458.7,665.1,154.5,0.01,0.01,0.02,0.01
6379,52,transportation ,United Kingdom,2014.0,1061.8,518.5,804.6,174,0.01,0.02,0.02,0.01
6380,52,transportation ,United Kingdom,2015.0,1299.5,641.1,867.4,244.8,0.02,0.02,0.02,0.01
6381,52,transportation ,United Kingdom,2016.0,1022.8,377,933.4,144,0.01,0.01,0.02,0.01
6382,52,transportation ,United Kingdom,2017.0,1364.4,556.7,1070,148,0.02,0.02,0.02,0.01
6383,52,transportation ,United Kingdom,2018.0,1238,450.9,1086,135.5,0.01,0.01,0.02,0.01
6384,52,transportation ,United Kingdom,2019.0,1495,560.6,1228.3,139.4,0.02,0.01,0.02,0.01
6385,53,Postal and courier activities ,North East,2012.0,17.7,9.3,8.7,*,0.03,0.03,0.04,*
6386,53,Postal and courier activities ,North East,2013.0,6.8,5,2,4,0.01,0.02,0.01,0.02
6387,53,Postal and courier activities ,North East,2014.0,16.7,7.9,9,7.1,0.04,0.03,0.05,0.03
6388,53,Postal and courier activities ,North East,2015.0,11.3,10.1,1.9,1.3,0.03,0.04,0.01,0.01
6389,53,Postal and courier activities ,North East,2016.0,14.2,3.7,11.2,13.4,0.03,0.01,0.06,0.06
6390,53,Postal and courier activities ,North East,2017.0,1.2,1.1,0.5,0.5,0.03,0.01,0.06,0.06
6391,53,Postal and courier activities ,North East,2018.0,1.8,1,1,0.3,0.03,0.01,0.06,0.06
6392,53,Postal and courier activities ,North East,2019.0,36,21.4,15.1,20.3,0.08,0.08,0.09,0.08
6393,53,Postal and courier activities ,North West,2012.0,92.8,24.9,81.4,*,0.05,0.02,0.08,*
6394,53,Postal and courier activities ,North West,2013.0,57.7,48.9,18.7,11.5,0.03,0.05,0.02,0.01
6395,53,Postal and courier activities ,North West,2014.0,37.2,14.1,30.7,11.4,0.02,0.02,0.04,0.02
6396,53,Postal and courier activities ,North West,2015.0,50.5,20.1,43.8,16.3,0.03,0.02,0.05,0.02
6397,53,Postal and courier activities ,North West,2016.0,96.3,40.3,75.7,18.4,0.05,0.04,0.07,0.03
6398,53,Postal and courier activities ,North West,2017.0,124.9,26,118.5,13.7,0.06,0.03,0.11,0.02
6399,53,Postal and courier activities ,North West,2018.0,88.3,60,88.4,20.3,0.04,0.06,0.09,0.03
6400,53,Postal and courier activities ,North West,2019.0,58.8,52.2,11.1,24.6,0.03,0.04,0.01,0.03
6401,53,Postal and courier activities ,Yorkshire and The Humber,2012.0,48.8,13.5,42.5,9.3,0.03,0.02,0.05,0.01
6402,53,Postal and courier activities ,Yorkshire and The Humber,2013.0,72.2,72.5,23.4,13.5,0.04,0.08,0.03,0.02
6403,53,Postal and courier activities ,Yorkshire and The Humber,2014.0,98.2,40.1,62.5,13.4,0.08,0.07,0.1,0.03
6404,53,Postal and courier activities ,Yorkshire and The Humber,2015.0,24,27.3,19.2,7.1,0.02,0.05,0.03,0.01
6405,53,Postal and courier activities ,Yorkshire and The Humber,2016.0,253.5,231.2,27.5,10.7,0.2,0.3,0.05,0.02
6406,53,Postal and courier activities ,Yorkshire and The Humber,2017.0,173.6,174.1,19.2,19,0.14,0.22,0.04,0.04
6407,53,Postal and courier activities ,Yorkshire and The Humber,2018.0,55.8,56,18,11.9,0.05,0.07,0.04,0.02
6408,53,Postal and courier activities ,Yorkshire and The Humber,2019.0,112,65.6,79.6,21.4,0.09,0.09,0.16,0.04
6409,53,Postal and courier activities ,East Midlands,2012.0,47.9,41.4,13.6,13.8,0.02,0.04,0.01,0.02
6410,53,Postal and courier activities ,East Midlands,2013.0,75.3,59.7,25.9,10.8,0.04,0.06,0.03,0.02
6411,53,Postal and courier activities ,East Midlands,2014.0,32.6,19,20.2,13.4,0.03,0.03,0.03,0.03
6412,53,Postal and courier activities ,East Midlands,2015.0,80.9,40.9,63.2,40.5,0.07,0.06,0.11,0.08
6413,53,Postal and courier activities ,East Midlands,2016.0,208.6,131.4,90.3,21.7,0.13,0.14,0.13,0.04
6414,53,Postal and courier activities ,East Midlands,2017.0,72.2,20,59.6,19.8,0.05,0.02,0.08,0.03
6415,53,Postal and courier activities ,East Midlands,2018.0,145.9,51.8,107.3,39.5,0.07,0.05,0.1,0.06
6416,53,Postal and courier activities ,East Midlands,2019.0,177.5,109.2,105.6,14.7,0.11,0.12,0.14,0.02
6417,53,Postal and courier activities ,West Midlands,2012.0,203.7,15.3,197.9,9.1,0.07,0.01,0.11,0.01
6418,53,Postal and courier activities ,West Midlands,2013.0,49.3,27,32.1,5.2,0.02,0.03,0.02,0.01
6419,53,Postal and courier activities ,West Midlands,2014.0,84.3,31.2,69.9,7.1,0.04,0.04,0.05,0.01
6420,53,Postal and courier activities ,West Midlands,2015.0,167.3,120.3,64.1,11.2,0.07,0.12,0.04,0.01
6421,53,Postal and courier activities ,West Midlands,2016.0,61.7,30.3,39.1,13.2,0.02,0.03,0.03,0.02
6422,53,Postal and courier activities ,West Midlands,2017.0,62.2,52.5,25,11.1,0.02,0.04,0.02,0.01
6423,53,Postal and courier activities ,West Midlands,2018.0,106.9,79.8,51.5,18.7,0.04,0.06,0.04,0.02
6424,53,Postal and courier activities ,West Midlands,2019.0,176.9,208,81.7,56.5,0.06,0.13,0.06,0.06
6425,53,Postal and courier activities ,East of England,2012.0,44.9,43.7,10.1,9.1,0.03,0.04,0.01,0.01
6426,53,Postal and courier activities ,East of England,2013.0,43.4,37.1,20,60.4,0.02,0.04,0.02,0.07
6427,53,Postal and courier activities ,East of England,2014.0,129.6,108.2,43.8,46.9,0.08,0.12,0.06,0.06
6428,53,Postal and courier activities ,East of England,2015.0,115,72.4,48.8,34.4,0.07,0.08,0.07,0.05
6429,53,Postal and courier activities ,East of England,2016.0,175.9,54.5,134,31.1,0.09,0.05,0.14,0.05
6430,53,Postal and courier activities ,East of England,2017.0,107.4,88.3,35.4,61.7,0.06,0.08,0.04,0.08
6431,53,Postal and courier activities ,East of England,2018.0,92.3,56.9,73,28,0.04,0.05,0.08,0.04
6432,53,Postal and courier activities ,East of England,2019.0,220.6,72.3,171.7,29.1,0.11,0.07,0.17,0.04
6433,53,Postal and courier activities ,London,2012.0,63.5,34.2,49.8,7.9,0.02,0.02,0.03,0.01
6434,53,Postal and courier activities ,London,2013.0,141,66.7,111.9,28.6,0.04,0.04,0.05,0.02
6435,53,Postal and courier activities ,London,2014.0,222,107.2,123.2,44.1,0.06,0.06,0.06,0.03
6436,53,Postal and courier activities ,London,2015.0,135.6,112.5,57.6,35.1,0.04,0.07,0.03,0.03
6437,53,Postal and courier activities ,London,2016.0,159.5,56.6,140.4,37.3,0.04,0.03,0.07,0.03
6438,53,Postal and courier activities ,London,2017.0,185.5,113.3,119.3,30.2,0.05,0.06,0.06,0.02
6439,53,Postal and courier activities ,London,2018.0,202.2,73.6,143.5,32.5,0.06,0.04,0.08,0.02
6440,53,Postal and courier activities ,London,2019.0,165.8,70.7,103.1,44.9,0.04,0.03,0.06,0.03
6441,53,Postal and courier activities ,South East,2012.0,96.4,68.6,52.8,22,0.03,0.04,0.03,0.02
6442,53,Postal and courier activities ,South East,2013.0,122.3,93.4,71.2,27.6,0.04,0.06,0.05,0.02
6443,53,Postal and courier activities ,South East,2014.0,107.2,59.2,65.3,35.7,0.04,0.05,0.05,0.03
6444,53,Postal and courier activities ,South East,2015.0,90,44.3,58,27.1,0.04,0.04,0.04,0.03
6445,53,Postal and courier activities ,South East,2016.0,154.6,47.9,128.4,24.1,0.06,0.04,0.08,0.02
6446,53,Postal and courier activities ,South East,2017.0,229.7,123.5,123.7,32.8,0.07,0.08,0.08,0.03
6447,53,Postal and courier activities ,South East,2018.0,206.6,156.4,79.8,22.3,0.05,0.09,0.04,0.02
6448,53,Postal and courier activities ,South East,2019.0,290.6,92.8,216.4,36.6,0.08,0.06,0.12,0.03
6449,53,Postal and courier activities ,South West,2012.0,81.6,12,76,9.3,0.05,0.01,0.09,0.01
6450,53,Postal and courier activities ,South West,2013.0,93.5,21.8,77.3,12.2,0.06,0.03,0.08,0.02
6451,53,Postal and courier activities ,South West,2014.0,86.2,70.9,53.6,8.1,0.06,0.09,0.08,0.01
6452,53,Postal and courier activities ,South West,2015.0,95.9,45.5,57.5,44.6,0.07,0.06,0.1,0.08
6453,53,Postal and courier activities ,South West,2016.0,91.2,94.1,18.7,17.1,0.06,0.1,0.03,0.03
6454,53,Postal and courier activities ,South West,2017.0,52.2,39.7,39.1,23,0.04,0.05,0.06,0.04
6455,53,Postal and courier activities ,South West,2018.0,239.7,62.1,198.1,14.2,0.13,0.08,0.19,0.02
6456,53,Postal and courier activities ,South West,2019.0,343.6,24.2,333.6,24.6,0.2,0.03,0.34,0.04
6457,53,Postal and courier activities ,England,2012.0,258.3,101.1,232.6,28.7,0.01,0.01,0.02,0.04
6458,53,Postal and courier activities ,England,2013.0,255.4,165.6,163,74.3,0.01,0.02,0.02,0.01
6459,53,Postal and courier activities ,England,2014.0,255.5,147.6,160.2,56,0.02,0.02,0.02,0.01
6460,53,Postal and courier activities ,England,2015.0,256.1,182.5,140.4,76.4,0.02,0.02,0.02,0.01
6461,53,Postal and courier activities ,England,2016.0,442.9,316.9,254,58.6,0.02,0.04,0.03,0.01
6462,53,Postal and courier activities ,England,2017.0,340.6,240.3,227.2,64.3,0.02,0.03,0.03,0.01
6463,53,Postal and courier activities ,England,2018.0,432.3,216.2,311.4,59.5,0.02,0.02,0.03,0.01
6464,53,Postal and courier activities ,England,2019.0,641.3,306.9,495.8,100.6,0.03,0.03,0.05,0.01
6465,53,Postal and courier activities ,Wales,2012.0,8.3,39.9,30.6,12.2,0.01,0.1,0.14,0.05
6466,53,Postal and courier activities ,Wales,2013.0,32.4,36.5,10.9,6.2,0.07,0.12,0.06,0.03
6467,53,Postal and courier activities ,Wales,2014.0,26.5,14.8,17.1,1.4,0.06,0.06,0.08,0.01
6468,53,Postal and courier activities ,Wales,2015.0,29.9,8.1,24.9,8.8,0.05,0.03,0.09,0.04
6469,53,Postal and courier activities ,Wales,2016.0,2.9,2.5,1.1,1.3,0.01,0.01,0.01,0.01
6470,53,Postal and courier activities ,Wales,2017.0,15.3,*,*,*,0.03,*,*,*
6471,53,Postal and courier activities ,Wales,2018.0,38.3,*,*,24.3,0.07,*,*,0.1
6472,53,Postal and courier activities ,Wales,2019.0,*,*,*,12.2,*,*,*,0.05
6473,53,Postal and courier activities ,Scotland,2012.0,79,12.7,74.9,6.2,0.06,0.02,0.11,0.01
6474,53,Postal and courier activities ,Scotland,2013.0,16.6,10.1,10.5,3.4,0.01,0.01,0.02,0.01
6475,53,Postal and courier activities ,Scotland,2014.0,32.3,12.2,25.1,4.1,0.03,0.02,0.05,0.01
6476,53,Postal and courier activities ,Scotland,2015.0,63.2,23.3,56.2,9.7,0.05,0.04,0.11,0.02
6477,53,Postal and courier activities ,Scotland,2016.0,135.4,21.2,128,18.5,0.11,0.03,0.22,0.04
6478,53,Postal and courier activities ,Scotland,2017.0,74.2,15.3,62.9,11.2,0.06,0.02,0.12,0.02
6479,53,Postal and courier activities ,Scotland,2018.0,36.9,13.4,29.4,6.1,0.03,0.02,0.06,0.01
6480,53,Postal and courier activities ,Scotland,2019.0,46.5,28.5,23.2,17.3,0.04,0.04,0.05,0.03
6481,53,Postal and courier activities ,Northern Ireland,2012.0,4.5,4.1,1.2,0.5,0.04,0.04,0.07,0.01
6482,53,Postal and courier activities ,Northern Ireland,2013.0,24.4,12,16.1,3.1,0.2,0.12,0.42,0.08
6483,53,Postal and courier activities ,Northern Ireland,2014.0,69.1,8.2,66.8,2.7,0.39,0.1,0.66,0.08
6484,53,Postal and courier activities ,Northern Ireland,2015.0,106.7,19.2,100.5,4.7,0.5,0.69,0.54,0.21
6485,53,Postal and courier activities ,Northern Ireland,2016.0,41.1,22.1,53.2,5.8,0.1,0.13,0.24,0.05
6486,53,Postal and courier activities ,Northern Ireland,2017.0,86.2,*,*,*,0.21,*,*,*
6487,53,Postal and courier activities ,Northern Ireland,2018.0,50.9,*,*,2.7,0.14,*,*,0.04
6488,53,Postal and courier activities ,Northern Ireland,2019.0,*,*,*,8.4,*,*,*,0.05
6489,53,Postal and courier activities ,United Kingdom,2012.0,273.1,110.1,249.1,30.5,0.01,0.01,0.02,0.05
6490,53,Postal and courier activities ,United Kingdom,2013.0,261.1,171.7,167.5,74.9,0.01,0.02,0.02,0.01
6491,53,Postal and courier activities ,United Kingdom,2014.0,269.9,147.6,178,56.7,0.02,0.02,0.02,0.01
6492,53,Postal and courier activities ,United Kingdom,2015.0,279.3,185.7,182.1,78.4,0.02,0.02,0.02,0.01
6493,53,Postal and courier activities ,United Kingdom,2016.0,460.1,319.1,282.8,62.1,0.02,0.03,0.03,0.01
6494,53,Postal and courier activities ,United Kingdom,2017.0,359,247,236,67.9,0.02,0.02,0.02,0.01
6495,53,Postal and courier activities ,United Kingdom,2018.0,442.3,219.1,317.9,63.3,0.02,0.02,0.03,0.01
6496,53,Postal and courier activities ,United Kingdom,2019.0,645.5,309.3,497.6,103.8,0.03,0.03,0.05,0.01
6497,I ,Accommodation and food service activities,North East,2012.0,113.6,55.7,74.1,32.2,0.06,0.06,0.08,0.06
6498,I ,Accommodation and food service activities,North East,2013.0,162.9,108.2,90.3,33.8,0.07,0.1,0.08,0.06
6499,I ,Accommodation and food service activities,North East,2014.0,121.2,87.5,61.8,35.2,0.06,0.08,0.06,0.06
6500,I ,Accommodation and food service activities,North East,2015.0,155.4,83.5,101,42.9,0.08,0.08,0.1,0.07
6501,I ,Accommodation and food service activities,North East,2016.0,253.5,154.9,117.1,72.2,0.11,0.12,0.11,0.1
6502,I ,Accommodation and food service activities,North East,2017.0,246.3,135.4,152.2,67.5,0.09,0.1,0.1,0.08
6503,I ,Accommodation and food service activities,North East,2018.0,215.8,118.2,118.6,67.3,0.08,0.09,0.09,0.08
6504,I ,Accommodation and food service activities,North East,2019.0,298.3,135.6,191.2,84.6,0.11,0.11,0.13,0.11
6505,I ,Accommodation and food service activities,North West,2012.0,242.2,128.7,164,74.1,0.04,0.04,0.05,0.04
6506,I ,Accommodation and food service activities,North West,2013.0,215.8,162.6,129.8,102.6,0.03,0.04,0.04,0.05
6507,I ,Accommodation and food service activities,North West,2014.0,249.6,155,145,70.5,0.03,0.04,0.04,0.04
6508,I ,Accommodation and food service activities,North West,2015.0,250.6,152,157.3,54.6,0.03,0.03,0.04,0.02
6509,I ,Accommodation and food service activities,North West,2016.0,374,211.3,202.3,98.5,0.05,0.05,0.05,0.04
6510,I ,Accommodation and food service activities,North West,2017.0,463.6,187.5,350.8,83.2,0.05,0.04,0.08,0.03
6511,I ,Accommodation and food service activities,North West,2018.0,451.2,222.5,274.7,101.7,0.05,0.05,0.07,0.04
6512,I ,Accommodation and food service activities,North West,2019.0,512.3,253.2,326.8,168.5,0.05,0.05,0.07,0.06
6513,I ,Accommodation and food service activities,Yorkshire and The Humber,2012.0,211.2,97.5,190.2,41.1,0.05,0.05,0.08,0.04
6514,I ,Accommodation and food service activities,Yorkshire and The Humber,2013.0,302.9,101.6,268.6,43.3,0.07,0.05,0.11,0.04
6515,I ,Accommodation and food service activities,Yorkshire and The Humber,2014.0,196.2,78.7,175.1,35.5,0.04,0.04,0.08,0.03
6516,I ,Accommodation and food service activities,Yorkshire and The Humber,2015.0,368.4,174.1,219.8,130.4,0.07,0.07,0.08,0.09
6517,I ,Accommodation and food service activities,Yorkshire and The Humber,2016.0,199.2,124.6,139,60.5,0.04,0.05,0.06,0.04
6518,I ,Accommodation and food service activities,Yorkshire and The Humber,2017.0,228.8,147.7,148.1,79,0.04,0.05,0.06,0.05
6519,I ,Accommodation and food service activities,Yorkshire and The Humber,2018.0,318.9,213.7,235,64.1,0.05,0.07,0.08,0.04
6520,I ,Accommodation and food service activities,Yorkshire and The Humber,2019.0,370.7,268.5,178.5,105.4,0.06,0.08,0.06,0.06
6521,I ,Accommodation and food service activities,East Midlands,2012.0,113.8,59.7,73.1,33.2,0.03,0.03,0.04,0.03
6522,I ,Accommodation and food service activities,East Midlands,2013.0,136.5,68.3,104.3,32.1,0.04,0.04,0.06,0.03
6523,I ,Accommodation and food service activities,East Midlands,2014.0,165.1,94.7,97.2,36.2,0.04,0.05,0.05,0.04
6524,I ,Accommodation and food service activities,East Midlands,2015.0,113.4,102.5,64.8,31.8,0.03,0.05,0.04,0.03
6525,I ,Accommodation and food service activities,East Midlands,2016.0,184.8,146.1,97.9,45.3,0.05,0.06,0.06,0.04
6526,I ,Accommodation and food service activities,East Midlands,2017.0,298.6,170.5,171.9,59.6,0.07,0.07,0.09,0.05
6527,I ,Accommodation and food service activities,East Midlands,2018.0,250.3,159.5,125.8,56.2,0.06,0.07,0.06,0.04
6528,I ,Accommodation and food service activities,East Midlands,2019.0,473,461.1,195.7,51.8,0.09,0.17,0.07,0.04
6529,I ,Accommodation and food service activities,West Midlands,2012.0,130.6,81.9,88.9,30.8,0.02,0.03,0.03,0.02
6530,I ,Accommodation and food service activities,West Midlands,2013.0,100.5,76.1,68.4,39.5,0.02,0.03,0.02,0.03
6531,I ,Accommodation and food service activities,West Midlands,2014.0,122.6,92.2,75.5,36,0.02,0.03,0.03,0.03
6532,I ,Accommodation and food service activities,West Midlands,2015.0,182.8,119,121.8,43.4,0.03,0.04,0.04,0.03
6533,I ,Accommodation and food service activities,West Midlands,2016.0,287.9,187.2,156.7,64.9,0.04,0.05,0.05,0.04
6534,I ,Accommodation and food service activities,West Midlands,2017.0,167.2,144.6,119.5,53.4,0.03,0.04,0.04,0.03
6535,I ,Accommodation and food service activities,West Midlands,2018.0,221.3,126.9,137.1,58,0.03,0.04,0.04,0.03
6536,I ,Accommodation and food service activities,West Midlands,2019.0,483.9,175.8,365.5,124.4,0.07,0.05,0.1,0.06
6537,I ,Accommodation and food service activities,East of England,2012.0,311.8,167.6,188.5,97.5,0.05,0.06,0.06,0.06
6538,I ,Accommodation and food service activities,East of England,2013.0,286.9,142.8,186.5,78,0.05,0.05,0.07,0.05
6539,I ,Accommodation and food service activities,East of England,2014.0,302.7,174.4,166.7,70.6,0.05,0.06,0.06,0.05
6540,I ,Accommodation and food service activities,East of England,2015.0,392.5,239.4,210.2,94.6,0.05,0.06,0.06,0.05
6541,I ,Accommodation and food service activities,East of England,2016.0,497.4,356.7,211,144.3,0.08,0.1,0.08,0.08
6542,I ,Accommodation and food service activities,East of England,2017.0,411.1,221.3,248.4,114.5,0.06,0.06,0.07,0.06
6543,I ,Accommodation and food service activities,East of England,2018.0,522.8,295.3,253.3,143.9,0.07,0.07,0.08,0.07
6544,I ,Accommodation and food service activities,East of England,2019.0,321,226,170.5,95.1,0.05,0.07,0.06,0.05
6545,I ,Accommodation and food service activities,London,2012.0,424.7,303.7,222.3,132.4,0.02,0.03,0.03,0.03
6546,I ,Accommodation and food service activities,London,2013.0,423.1,263.7,257.8,144.9,0.02,0.03,0.03,0.03
6547,I ,Accommodation and food service activities,London,2014.0,661.1,460.2,299.4,180.1,0.03,0.04,0.03,0.03
6548,I ,Accommodation and food service activities,London,2015.0,847.8,574.6,403.2,220,0.04,0.05,0.04,0.04
6549,I ,Accommodation and food service activities,London,2016.0,1060.3,670.2,581.6,274.9,0.05,0.06,0.06,0.04
6550,I ,Accommodation and food service activities,London,2017.0,1082.5,582.6,634.6,284.8,0.05,0.05,0.06,0.04
6551,I ,Accommodation and food service activities,London,2018.0,1107.8,616.1,636.1,276.7,0.04,0.05,0.05,0.04
6552,I ,Accommodation and food service activities,London,2019.0,1203.6,837.6,552.8,352.4,0.05,0.07,0.05,0.05
6553,I ,Accommodation and food service activities,South East,2012.0,308.4,182.2,182.3,94.4,0.03,0.04,0.04,0.03
6554,I ,Accommodation and food service activities,South East,2013.0,247.8,150.9,166.8,63.1,0.03,0.03,0.03,0.02
